no BN Max LR: 0.300000,0.094700,0.804900,0.902300,0.918800,0.922400,0.938400,0.910900,0.945500,0.949000,0.954900,0.956100,0.952400,0.960700,0.961200,0.963700,0.963700,0.965500,0.963200,0.963000,0.965500,0.966600,0.967100,0.967800,0.968200,0.969200,0.970400,0.971400,0.971200,0.970400,0.971400,0.970300,0.970700,0.971000,0.971500,0.971900,0.971400,0.971800,0.971400,0.971200,0.972000,0.971200,0.970700,0.971800,0.971300,0.971500,0.971400,0.971100,0.970900,0.971400,0.971600,0.971600,0.971700,0.971000,0.971500,0.971100,0.971700,0.971800,0.971800,0.971300,0.971200,0.970900,0.971300,0.971200,0.971400,0.971300,0.971500,0.971600,0.971700,0.971200,0.971300,0.971400,0.971600,0.971500,0.971300,0.971600,0.971400,0.971600,0.971600,0.971500,0.971500,0.971300,0.971300,0.971300,0.971800,0.971400,0.971200,0.971200,0.971300,0.971300,0.971500,0.971200,0.971500,0.971400,0.971100,0.971200,0.971400,0.971300,0.971300,0.971500,0.971300,0.971600
no BN Max LR: 0.030000,0.132500,0.844400,0.897600,0.922900,0.929800,0.935000,0.944500,0.950700,0.949700,0.954500,0.952400,0.958900,0.962500,0.962700,0.963600,0.965100,0.966500,0.966600,0.966600,0.969000,0.969800,0.971000,0.969100,0.970600,0.971300,0.968800,0.968700,0.970000,0.971300,0.970600,0.970400,0.971400,0.971900,0.971700,0.971900,0.972500,0.972600,0.972900,0.973300,0.972700,0.972800,0.972900,0.972800,0.973100,0.972800,0.972800,0.972800,0.972900,0.973200,0.973200,0.973900,0.973400,0.973200,0.973200,0.972800,0.973000,0.973400,0.973400,0.973700,0.973300,0.973300,0.972700,0.973300,0.973600,0.973000,0.972900,0.972900,0.973000,0.973200,0.973000,0.973300,0.973200,0.973300,0.973200,0.972700,0.972900,0.972700,0.972800,0.973000,0.973300,0.973500,0.973400,0.973400,0.973500,0.973300,0.973200,0.973000,0.972900,0.973300,0.973300,0.973400,0.973200,0.972800,0.973200,0.973100,0.972900,0.972800,0.972700,0.973100,0.973300,0.972700
no BN Max LR: 0.003000,0.128600,0.881500,0.913800,0.917200,0.934100,0.930400,0.945500,0.946200,0.948200,0.948600,0.957200,0.958400,0.955700,0.955600,0.955200,0.960800,0.959900,0.961700,0.963500,0.962800,0.962900,0.963700,0.964800,0.966100,0.965800,0.965500,0.964800,0.965800,0.967300,0.966900,0.966100,0.965300,0.966300,0.966600,0.966300,0.967100,0.967300,0.967800,0.967300,0.966900,0.966800,0.966800,0.967400,0.966400,0.967100,0.967200,0.967600,0.967300,0.967300,0.967200,0.967800,0.967400,0.968000,0.968100,0.967400,0.968100,0.967700,0.967900,0.967300,0.967400,0.968300,0.968300,0.967800,0.967900,0.967300,0.967600,0.967400,0.968100,0.967600,0.967600,0.968100,0.967600,0.968000,0.967600,0.968000,0.967500,0.967500,0.967800,0.967500,0.968000,0.967900,0.967900,0.967800,0.968000,0.967900,0.967600,0.967600,0.967800,0.967600,0.967500,0.967900,0.967600,0.967700,0.967600,0.968000,0.967900,0.967900,0.967900,0.967600,0.967500,0.967600
BN Max LR: 0.300000,0.085400,0.908800,0.944200,0.953400,0.955500,0.966000,0.954000,0.970400,0.970800,0.973800,0.975800,0.974400,0.976300,0.978100,0.977800,0.980600,0.979600,0.980000,0.980100,0.980800,0.982700,0.983400,0.982200,0.981900,0.982000,0.982600,0.983600,0.981800,0.983800,0.983900,0.984600,0.984200,0.984700,0.984600,0.985000,0.984600,0.984300,0.984200,0.984600,0.984900,0.985200,0.985500,0.985100,0.984800,0.985500,0.985700,0.985900,0.985700,0.985200,0.985800,0.985100,0.984900,0.985300,0.985100,0.985300,0.985100,0.985200,0.985300,0.985300,0.985200,0.985400,0.985400,0.985500,0.985400,0.985200,0.985100,0.985400,0.985500,0.985500,0.985400,0.985600,0.985300,0.985200,0.985200,0.985700,0.986000,0.985800,0.985600,0.985700,0.985400,0.985500,0.985500,0.985200,0.985100,0.985300,0.985300,0.985100,0.985100,0.985300,0.985400,0.985400,0.985300,0.985300,0.985100,0.984900,0.985000,0.985100,0.984900,0.985000,0.985100,0.985000
BN Max LR: 0.030000,0.121000,0.923900,0.940900,0.954900,0.952100,0.964700,0.968800,0.971300,0.970600,0.968900,0.974900,0.973500,0.974500,0.974400,0.977100,0.979800,0.980000,0.979300,0.980300,0.980800,0.980000,0.982000,0.981800,0.983600,0.982400,0.983300,0.983000,0.983400,0.982900,0.985100,0.984000,0.984500,0.984200,0.984500,0.983800,0.984600,0.985100,0.985000,0.984500,0.984300,0.984200,0.984800,0.984900,0.985400,0.984900,0.984600,0.984600,0.984600,0.984600,0.984700,0.984600,0.984500,0.984200,0.984200,0.984700,0.984500,0.984700,0.984600,0.984600,0.984800,0.984900,0.984800,0.984900,0.984800,0.984700,0.984600,0.984700,0.984600,0.984700,0.984600,0.984700,0.984800,0.985100,0.985200,0.985200,0.985200,0.985000,0.985100,0.984900,0.984900,0.985000,0.985000,0.984800,0.984600,0.984900,0.985000,0.985000,0.984600,0.984600,0.984900,0.984900,0.984700,0.984600,0.984600,0.984700,0.984700,0.984600,0.984400,0.984600,0.984500,0.984500
BN Max LR: 0.003000,0.117100,0.938500,0.940500,0.953700,0.963600,0.964600,0.963600,0.972600,0.968700,0.971800,0.972700,0.978000,0.976300,0.978100,0.980000,0.978500,0.978100,0.981200,0.980300,0.981900,0.980300,0.982100,0.981600,0.982900,0.983300,0.981800,0.981300,0.982200,0.982700,0.983000,0.983300,0.983000,0.982900,0.982900,0.983500,0.983400,0.983500,0.983200,0.983900,0.983600,0.984200,0.984200,0.983400,0.983800,0.984400,0.984300,0.984300,0.984500,0.984700,0.984600,0.984300,0.984400,0.984400,0.984800,0.984400,0.984600,0.984300,0.984400,0.984600,0.984600,0.984800,0.984700,0.984500,0.984800,0.984700,0.984500,0.984500,0.984700,0.984800,0.985100,0.984800,0.984700,0.984400,0.984600,0.984300,0.984500,0.984800,0.984700,0.984400,0.984500,0.984800,0.984600,0.984400,0.984400,0.984500,0.984600,0.984600,0.984500,0.984300,0.984300,0.984400,0.984200,0.984400,0.984200,0.984400,0.984000,0.984000,0.983800,0.984100,0.984300,0.984500
